classifier_name,dataset_name,accuracy
9{4},StarLightCurves,0.981544439
9{4},Strawberry,0.981081081
9{4},SwedishLeaf,0.9648
9{4},Symbols,0.982914573
9{4},SyntheticControl,0.986666667
9{4},ToeSegmentation1,0.960526316
9{4},ToeSegmentation2,0.915384615
9{4},Trace,1
9{4},TwoLeadECG,0.998244074
9{4},TwoPatterns,0.99625
9{4},UMD,0.993055556
9{4},UWaveGestureLibraryAll,0.968453378
9{4},UWaveGestureLibraryX,0.847292016
9{4},UWaveGestureLibraryY,0.778336125
9{4},UWaveGestureLibraryZ,0.796203238
9{4},Wafer,0.998864374
9{4},Wine,0.796296296
9{4},WordSynonyms,0.750783699
9{4},Worms,0.74025974
9{4},WormsTwoClass,0.779220779
9{4},Yoga,0.907
7,ACSF1,0.92
7,Adiac,0.831202046
7,AllGestureWiimoteX,0.694285714
7,AllGestureWiimoteY,0.715714286
7,AllGestureWiimoteZ,0.682857143
7,ArrowHead,0.862857143
7,BME,1
7,Beef,0.866666667
7,BeetleFly,0.9
7,BirdChicken,0.9
7,CBF,0.998888889
7,Car,0.916666667
7,Chinatown,0.982507289
7,ChlorineConcentration,0.752604167
7,CinCECGTorso,0.864492754
7,Coffee,1
7,Computers,0.732
7,CricketX,0.81025641
7,CricketY,0.838461538
7,CricketZ,0.830769231
7,Crop,0.74922619
7,DiatomSizeReduction,0.921568627
7,DistalPhalanxOutlineAgeGroup,0.71942446
7,DistalPhalanxOutlineCorrect,0.793478261
7,DistalPhalanxTW,0.705035971
7,DodgerLoopDay,0.675
7,DodgerLoopGame,0.862318841
7,DodgerLoopWeekend,0.985507246
7,ECG200,0.92
7,ECG5000,0.945333333
7,ECGFiveDays,1
7,EOGHorizontalSignal,0.593922652
7,EOGVerticalSignal,0.555248619
7,Earthquakes,0.748201439
7,ElectricDevices,0.746077033
7,EthanolLevel,0.604
7,FaceAll,0.808284024
7,FaceFour,0.988636364
7,FacesUCR,0.95804878
7,FiftyWords,0.83956044
7,Fish,0.971428571
7,FordA,0.946969697
7,FordB,0.816049383
7,FreezerRegularTrain,0.999649123
7,FreezerSmallTrain,0.961052632
7,Fungi,1
7,GestureMidAirD1,0.738461538
7,GestureMidAirD2,0.630769231
7,GestureMidAirD3,0.430769231
7,GesturePebbleZ1,0.912790698
7,GesturePebbleZ2,0.867088608
7,GunPoint,0.993333333
7,GunPointAgeSpan,0.993670886
7,GunPointMaleVersusFemale,1
7,GunPointOldVersusYoung,1
7,Ham,0.704761905
7,HandOutlines,0.943243243
7,Haptics,0.535714286
7,Herring,0.65625
7,HouseTwenty,0.966386555
7,InlineSkate,0.452727273
